target_model,proxy_model,dataset,z_mode,Label,rho_T,rho_P,Scale,Shape_I,Shape_W,Omega_I,Omega_W,delta_I,delta_W,gamma_I,gamma_W,Bound_I,Bound_W,Bound,EBound_I,EBound_W,EBound,|MdR|,MLoss_T,MLoss_P,MPPL_T,MPPL_P,K_f,K_f_grad_p95,K_f_grad_max,K_f_grad_mean,K_f(pw),K_p,K_p(emp)
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,deepseek-ai/DeepSeek-R1-Distill-Llama-8B [FP16],arc,concat,BF16 vs FP16,129.05962977340073,129.01751544005597,0.0017736170730732,5.5526127788091655,1.8903736896246632,0.9998332644127582,0.9999432352696286,2.3567745746851223,1.37555345468569,1.74069355125539e-05,8.724590301513672,6.125496109225514,15.91362247978276,6.125496109225514,2.594386134829057,12.493162663910214,2.594386134829057,0.002909,0.9035719633102416,0.900662899017334,2.468404432868931,2.46123412017978,2.599090960118504,1.1008113622665403,1.540028691291809,0.488207072019577,0.0377344787120819,1.4142135623730951,1.2583900690078735
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,bartowski/DeepSeek-R1-Distill-Llama-8B-GGUF/DeepSeek-R1-Distill-Llama-8B-Q8_0.gguf,arc,concat,BF16 vs Q8_0,129.05962977340073,128.80391281752327,0.065391161523235,39.49546087489043,10.246884024796318,0.99881205121104,0.9996917931023408,6.289741809996445,3.211273141033513,3.5672433376312256,24.23812866210937,21.3924549882043,42.62428127183068,21.3924549882043,11.41280283997664,34.03602636072459,11.41280283997664,0.004376,0.9035719633102416,0.8991955518722534,2.468404432868931,2.457625283675648,2.599090960118504,1.1008113622665403,1.540028691291809,0.488207072019577,0.0377344787120819,1.4142135623730951,1.2583900690078735
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,bartowski/DeepSeek-R1-Distill-Llama-8B-GGUF/DeepSeek-R1-Distill-Llama-8B-Q6_K.gguf,arc,concat,BF16 vs Q6_K,129.05962977340073,129.1370308133207,0.0059909209806982,135.89708859734776,25.66179447969846,0.9959230165787272,0.9992301328031844,11.657747617714676,5.066338460928451,11.17874813079834,46.39133834838867,46.10868366547313,78.77513436363016,46.10868366547313,26.90020666775297,63.955482408474445,26.90020666775297,0.004486,0.9035719633102416,0.9080581068992616,2.468404432868931,2.4795029256932306,2.599090960118504,1.1008113622665403,1.540028691291809,0.488207072019577,0.0377344787120819,1.4142135623730951,1.2583900690078735
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,bartowski/DeepSeek-R1-Distill-Llama-8B-GGUF/DeepSeek-R1-Distill-Llama-8B-Q5_K_M.gguf,arc,concat,BF16 vs Q5_K_M,129.05962977340073,128.92004628220124,0.0194835510154376,254.0068491505046,42.02961954898684,0.9923668365176356,0.9987369672975672,15.938203559420366,6.484527978195659,11.166120529174805,64.34773254394531,57.21611988326968,107.8553141203679,57.21611988326968,31.596290755585475,88.11278967380859,31.596290755585475,0.016671,0.9035719633102416,0.9202425479888916,2.468404432868931,2.509899087090073,2.599090960118504,1.1008113622665403,1.540028691291809,0.488207072019577,0.0377344787120819,1.4142135623730951,1.2583900690078735
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,bartowski/DeepSeek-R1-Distill-Llama-8B-GGUF/DeepSeek-R1-Distill-Llama-8B-Q4_K_M.gguf,arc,concat,BF16 vs Q4_K_M,129.05962977340073,130.2332052276754,1.3772793468759958,708.5258262523937,99.60742018027732,0.9789227694847692,0.9970368778689808,26.64400693588083,10.049114365313844,11.303936958312988,112.923828125,85.23637852303929,185.8169715535476,85.23637852303929,43.554787580358266,153.1644031409054,43.554787580358266,0.056896,0.9035719633102416,0.9604676961898804,2.468404432868931,2.6129182395982835,2.599090960118504,1.1008113622665403,1.540028691291809,0.488207072019577,0.0377344787120819,1.4142135623730951,1.2583900690078735
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,bartowski/DeepSeek-R1-Distill-Llama-8B-GGUF/DeepSeek-R1-Distill-Llama-8B-Q3_K_M.gguf,arc,concat,BF16 vs Q3_K_M,129.05962977340073,133.1242265926012,16.5209473026545,1953.6952967716131,257.4713878532044,0.9431436045952722,0.9925070736171726,44.38711799693992,16.552713830543286,11.545159339904783,189.30995178222656,131.69347804981163,310.7467101850151,131.69347804981163,63.39015768774679,256.44717874812187,63.39015768774679,0.108581,0.9035719633102416,1.0121527910232544,2.468404432868931,2.7515180870600453,2.599090960118504,1.1008113622665403,1.540028691291809,0.488207072019577,0.0377344787120819,1.4142135623730951,1.2583900690078735
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,bartowski/DeepSeek-R1-Distill-Llama-8B-GGUF/DeepSeek-R1-Distill-Llama-8B-Q2_K.gguf,arc,concat,BF16 vs Q2_K,129.05962977340073,134.01935823989794,24.59890646138277,6130.596109645414,813.7251419034847,0.8227791722410647,0.9764771580712184,78.45505092794725,28.9538261437908,11.544175148010254,347.8188171386719,220.23774270319103,567.1437162372467,220.23774270319103,100.89128684982803,469.5644461015452,100.89128684982803,0.332693,0.9035719633102416,1.2362648248672483,2.468404432868931,3.442730218848992,2.599090960118504,1.1008113622665403,1.540028691291809,0.488207072019577,0.0377344787120819,1.4142135623730951,1.2583900690078735
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,deepseek-ai/DeepSeek-R1-Distill-Llama-8B [bnb:int8],arc,concat,BF16 vs INT8,129.05962977340073,129.36220424259056,0.0915513094055106,465.2065432175755,108.65625858759265,0.986067854643026,0.9967459297151818,21.570769446799552,10.428221799376832,0.0,84.2833480834961,56.064391871977136,146.29855095076363,56.064391871977136,23.745348099868885,117.54083325599493,23.745348099868885,0.000722,0.9035719633102416,0.9028497338294984,2.468404432868931,2.466622322041069,2.599090960118504,1.1008113622665403,1.540028691291809,0.488207072019577,0.0377344787120819,1.4142135623730951,1.2583900690078735
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,deepseek-ai/DeepSeek-R1-Distill-Llama-8B [bnb:nf4],arc,concat,BF16 vs NF4,129.05962977340073,132.27529309279174,10.340490583676823,1894.0341060319884,237.21816675305493,0.9445261060406244,0.9930521761008488,43.63914064937197,15.733996864647322,0.0,188.03558349609372,113.4220959691226,306.8165614063521,113.4220959691226,48.03846186637632,253.94227341405508,48.03846186637632,0.133737,0.9035719633102416,1.0373094081878662,2.468404432868931,2.821614977792764,2.599090960118504,1.1008113622665403,1.540028691291809,0.488207072019577,0.0377344787120819,1.4142135623730951,1.2583900690078735
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,deepseek-ai/DeepSeek-R1-Distill-Llama-8B [bnb:fp4],arc,concat,BF16 vs FP4,129.05962977340073,135.34104640136766,39.456194854099486,4105.88779915985,565.1060154786412,0.8824677265803648,0.983823670306844,64.38434587703715,24.587846801473628,0.0,276.9620666503906,167.3407713421503,455.5895612703523,167.3407713421503,70.87501949354139,375.5928952974795,70.87501949354139,0.286596,0.9035719633102416,1.1901679039001465,2.468404432868931,3.2876331674747656,2.599090960118504,1.1008113622665403,1.540028691291809,0.488207072019577,0.0377344787120819,1.4142135623730951,1.2583900690078735
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,jakiAJK/DeepSeek-R1-Distill-Llama-8B_GPTQ-int4 [GPTQ],arc,concat,BF16 vs GPTQ(DeepSeek-R1-Distill-Llama-8B_GPTQ-int4),129.05962977340073,132.04628045283062,8.920082280938997,2180.7203944584458,251.34278535028457,0.9360186495741958,0.9926257163149576,46.79359439858606,16.13266461658531,0.0,199.5088348388672,121.62080819281688,324.0783628099704,121.62080819281688,51.51092039525548,268.818956954135,51.51092039525548,0.040719,0.9035719633102416,0.9442912936210632,2.468404432868931,2.5709906552992083,2.599090960118504,1.1008113622665403,1.540028691291809,0.488207072019577,0.0377344787120819,1.4142135623730951,1.2583900690078735
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,deepseek-ai/DeepSeek-R1-Distill-Llama-8B [FP16],fineweb_edu,concat,BF16 vs FP16,106.9162493909731,106.9585930367501,0.0017929843376876,0.0,0.0,1.0,1.0,0.0423436457769952,0.0423436457769952,1.929941208800301e-05,2.8342478275299072,0.110082280447769,4.118286703776724,0.110082280447769,0.0466558248128989,3.668202190031456,0.0466558248128989,0.000401,3.008810520172119,3.008409261703491,20.26328281851921,20.25515363574687,2.599090960118504,1.1012552976608276,1.9693700075149536,0.5636263489723206,0.0513756982982158,1.4142135623730951,1.2777891159057615
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,bartowski/DeepSeek-R1-Distill-Llama-8B-GGUF/DeepSeek-R1-Distill-Llama-8B-Q8_0.gguf,fineweb_edu,concat,BF16 vs Q8_0,106.9162493909731,106.94322067252364,0.0007274500284779,0.0,0.0,1.0,1.0,0.02697128155053,0.02697128155053,3.8380706310272217,18.39073181152344,5.4979523538053545,26.07852316388356,5.4979523538053545,4.933947145096366,23.529179208998723,4.933947145096366,0.002733,3.008810520172119,3.006077289581299,20.26328281851921,20.20797421406614,2.599090960118504,1.1012552976608276,1.9693700075149536,0.5636263489723206,0.0513756982982158,1.4142135623730951,1.2777891159057615
